Notes,State,State Code,Year,Year Code,UCD - Drug/Alcohol Induced,UCD - Drug/Alcohol Induced Code,Deaths,Population,Crude Rate
,New Hampshire,33,2007,2007,Drug-induced causes,D,187,1312540,14.2
Total,New Hampshire,33,2007,2007,,,187,1312540,14.2
,New Hampshire,33,2008,2008,Drug-induced causes,D,129,1315906,9.8
Total,New Hampshire,33,2008,2008,,,129,1315906,9.8
,New Hampshire,33,2009,2009,Drug-induced causes,D,172,1316102,13.1
Total,New Hampshire,33,2009,2009,,,172,1316102,13.1
,New Hampshire,33,2010,2010,Drug-induced causes,D,164,1316470,12.5
Total,New Hampshire,33,2010,2010,,,164,1316470,12.5
,New Hampshire,33,2011,2011,Drug-induced causes,D,212,1318194,16.1
Total,New Hampshire,33,2011,2011,,,212,1318194,16.1
,New Hampshire,33,2012,2012,Drug-induced causes,D,177,1320718,13.4
Total,New Hampshire,33,2012,2012,,,177,1320718,13.4
,New Hampshire,33,2013,2013,Drug-induced causes,D,217,1323459,16.4
Total,New Hampshire,33,2013,2013,,,217,1323459,16.4
,New Hampshire,33,2014,2014,Drug-induced causes,D,348,1326813,26.2
Total,New Hampshire,33,2014,2014,,,348,1326813,26.2
,New Hampshire,33,2015,2015,Drug-induced causes,D,433,1330608,32.5
Total,New Hampshire,33,2015,2015,,,433,1330608,32.5
,New Hampshire,33,2016,2016,Drug-induced causes,D,495,1334795,37.1
Total,New Hampshire,33,2016,2016,,,495,1334795,37.1
,New Hampshire,33,2017,2017,Drug-induced causes,D,479,1342795,35.7
Total,New Hampshire,33,2017,2017,,,479,1342795,35.7
,New Hampshire,33,2018,2018,Drug-induced causes,D,472,1356458,34.8
Total,New Hampshire,33,2018,2018,,,472,1356458,34.8
,New Hampshire,33,2019,2019,Drug-induced causes,D,420,1359711,30.9
Total,New Hampshire,33,2019,2019,,,420,1359711,30.9
,New Hampshire,33,2020,2020,Drug-induced causes,D,402,1366275,29.4
Total,New Hampshire,33,2020,2020,,,402,1366275,29.4
Total,New Hampshire,33,,,,,5192,28800092,18
,New Jersey,34,1999,1999,Drug-induced causes,D,757,8359592,9.1
Total,New Jersey,34,1999,1999,,,757,8359592,9.1
,New Jersey,34,2000,2000,Drug-induced causes,D,795,8414350,9.4
Total,New Jersey,34,2000,2000,,,795,8414350,9.4
,New Jersey,34,2001,2001,Drug-induced causes,D,796,8492671,9.4
Total,New Jersey,34,2001,2001,,,796,8492671,9.4
,New Jersey,34,2002,2002,Drug-induced causes,D,885,8552643,10.3
Total,New Jersey,34,2002,2002,,,885,8552643,10.3
,New Jersey,34,2003,2003,Drug-induced causes,D,792,8601402,9.2
Total,New Jersey,34,2003,2003,,,792,8601402,9.2
,New Jersey,34,2004,2004,Drug-induced causes,D,711,8634561,8.2
Total,New Jersey,34,2004,2004,,,711,8634561,8.2
,New Jersey,34,2005,2005,Drug-induced causes,D,966,8651974,11.2
Total,New Jersey,34,2005,2005,,,966,8651974,11.2
,New Jersey,34,2006,2006,Drug-induced causes,D,1009,8661679,11.6
Total,New Jersey,34,2006,2006,,,1009,8661679,11.6
,New Jersey,34,2007,2007,Drug-induced causes,D,797,8677885,9.2
Total,New Jersey,34,2007,2007,,,797,8677885,9.2
,New Jersey,34,2008,2008,Drug-induced causes,D,808,8711090,9.3
Total,New Jersey,34,2008,2008,,,808,8711090,9.3
,New Jersey,34,2009,2009,Drug-induced causes,D,343,8755602,3.9
Total,New Jersey,34,2009,2009,,,343,8755602,3.9
,New Jersey,34,2010,2010,Drug-induced causes,D,903,8791894,10.3
Total,New Jersey,34,2010,2010,,,903,8791894,10.3
,New Jersey,34,2011,2011,Drug-induced causes,D,1042,8821155,11.8
Total,New Jersey,34,2011,2011,,,1042,8821155,11.8
,New Jersey,34,2012,2012,Drug-induced causes,D,1268,8864590,14.3
Total,New Jersey,34,2012,2012,,,1268,8864590,14.3
,New Jersey,34,2013,2013,Drug-induced causes,D,1331,8899339,15
Total,New Jersey,34,2013,2013,,,1331,8899339,15
,New Jersey,34,2014,2014,Drug-induced causes,D,1303,8938175,14.6
Total,New Jersey,34,2014,2014,,,1303,8938175,14.6
,New Jersey,34,2015,2015,Drug-induced causes,D,1506,8958013,16.8
Total,New Jersey,34,2015,2015,,,1506,8958013,16.8
,New Jersey,34,2016,2016,Drug-induced causes,D,2132,8944469,23.8
Total,New Jersey,34,2016,2016,,,2132,8944469,23.8
,New Jersey,34,2017,2017,Drug-induced causes,D,2752,9005644,30.6
Total,New Jersey,34,2017,2017,,,2752,9005644,30.6
,New Jersey,34,2018,2018,Drug-induced causes,D,2980,8908520,33.5
Total,New Jersey,34,2018,2018,,,2980,8908520,33.5
,New Jersey,34,2019,2019,Drug-induced causes,D,2867,8882190,32.3
Total,New Jersey,34,2019,2019,,,2867,8882190,32.3
,New Jersey,34,2020,2020,Drug-induced causes,D,2921,8882371,32.9
Total,New Jersey,34,2020,2020,,,2921,8882371,32.9
Total,New Jersey,34,,,,,29664,192409809,15.4
,New Mexico,35,1999,1999,Drug-induced causes,D,275,1808082,15.2
Total,New Mexico,35,1999,1999,,,275,1808082,15.2
,New Mexico,35,2000,2000,Drug-induced causes,D,281,1819046,15.4
Total,New Mexico,35,2000,2000,,,281,1819046,15.4
,New Mexico,35,2001,2001,Drug-induced causes,D,277,1831690,15.1
Total,New Mexico,35,2001,2001,,,277,1831690,15.1
,New Mexico,35,2002,2002,Drug-induced causes,D,301,1855309,16.2
Total,New Mexico,35,2002,2002,,,301,1855309,16.2
,New Mexico,35,2003,2003,Drug-induced causes,D,373,1877574,19.9
Total,New Mexico,35,2003,2003,,,373,1877574,19.9
,New Mexico,35,2004,2004,Drug-induced causes,D,331,1903808,17.4
Total,New Mexico,35,2004,2004,,,331,1903808,17.4
,New Mexico,35,2005,2005,Drug-induced causes,D,385,1932274,19.9
Total,New Mexico,35,2005,2005,,,385,1932274,19.9
,New Mexico,35,2006,2006,Drug-induced causes,D,435,1962137,22.2
Total,New Mexico,35,2006,2006,,,435,1962137,22.2
,New Mexico,35,2007,2007,Drug-induced causes,D,471,1990070,23.7
Total,New Mexico,35,2007,2007,,,471,1990070,23.7
,New Mexico,35,2008,2008,Drug-induced causes,D,534,2010662,26.6
Total,New Mexico,35,2008,2008,,,534,2010662,26.6
,New Mexico,35,2009,2009,Drug-induced causes,D,447,2036802,21.9
Total,New Mexico,35,2009,2009,,,447,2036802,21.9
,New Mexico,35,2010,2010,Drug-induced causes,D,487,2059179,23.7
Total,New Mexico,35,2010,2010,,,487,2059179,23.7
,New Mexico,35,2011,2011,Drug-induced causes,D,537,2082224,25.8
Total,New Mexico,35,2011,2011,,,537,2082224,25.8
,New Mexico,35,2012,2012,Drug-induced causes,D,502,2085538,24.1
Total,New Mexico,35,2012,2012,,,502,2085538,24.1
,New Mexico,35,2013,2013,Drug-induced causes,D,471,2085287,22.6
Total,New Mexico,35,2013,2013,,,471,2085287,22.6
,New Mexico,35,2014,2014,Drug-induced causes,D,559,2085572,26.8
Total,New Mexico,35,2014,2014,,,559,2085572,26.8
,New Mexico,35,2015,2015,Drug-induced causes,D,516,2085109,24.7
Total,New Mexico,35,2015,2015,,,516,2085109,24.7
,New Mexico,35,2016,2016,Drug-induced causes,D,525,2081015,25.2
Total,New Mexico,35,2016,2016,,,525,2081015,25.2
,New Mexico,35,2017,2017,Drug-induced causes,D,515,2088070,24.7
Total,New Mexico,35,2017,2017,,,515,2088070,24.7
,New Mexico,35,2018,2018,Drug-induced causes,D,562,2095428,26.8
Total,New Mexico,35,2018,2018,,,562,2095428,26.8
,New Mexico,35,2019,2019,Drug-induced causes,D,632,2096829,30.1
Total,New Mexico,35,2019,2019,,,632,2096829,30.1
,New Mexico,35,2020,2020,Drug-induced causes,D,836,2106319,39.7
Total,New Mexico,35,2020,2020,,,836,2106319,39.7
Total,New Mexico,35,,,,,10252,43978024,23.3
,New York,36,1999,1999,Drug-induced causes,D,1102,18882725,5.8
Total,New York,36,1999,1999,,,1102,18882725,5.8
,New York,36,2000,2000,Drug-induced causes,D,901,18976457,4.7
Total,New York,36,2000,2000,,,901,18976457,4.7
,New York,36,2001,2001,Drug-induced causes,D,1280,19082838,6.7
Total,New York,36,2001,2001,,,1280,19082838,6.7
,New York,36,2002,2002,Drug-induced causes,D,1118,19137800,5.8
Total,New York,36,2002,2002,,,1118,19137800,5.8
,New York,36,2003,2003,Drug-induced causes,D,1209,19175939,6.3
Total,New York,36,2003,2003,,,1209,19175939,6.3
,New York,36,2004,2004,Drug-induced causes,D,1068,19171567,5.6
Total,New York,36,2004,2004,,,1068,19171567,5.6
,New York,36,2005,2005,Drug-induced causes,D,1175,19132610,6.1
Total,New York,36,2005,2005,,,1175,19132610,6.1
,New York,36,2006,2006,Drug-induced causes,D,1949,19104631,10.2
Total,New York,36,2006,2006,,,1949,19104631,10.2
,New York,36,2007,2007,Drug-induced causes,D,1909,19132335,10
Total,New York,36,2007,2007,,,1909,19132335,10
,New York,36,2008,2008,Drug-induced causes,D,1856,19212436,9.7
Total,New York,36,2008,2008,,,1856,19212436,9.7
,New York,36,2009,2009,Drug-induced causes,D,1797,19307066,9.3
Total,New York,36,2009,2009,,,1797,19307066,9.3
,New York,36,2010,2010,Drug-induced causes,D,1760,19378102,9.1
Total,New York,36,2010,2010,,,1760,19378102,9.1
,New York,36,2011,2011,Drug-induced causes,D,2149,19465197,11
Total,New York,36,2011,2011,,,2149,19465197,11
,New York,36,2012,2012,Drug-induced causes,D,2262,19570261,11.6
Total,New York,36,2012,2012,,,2262,19570261,11.6
,New York,36,2013,2013,Drug-induced causes,D,2483,19651127,12.6
Total,New York,36,2013,2013,,,2483,19651127,12.6
,New York,36,2014,2014,Drug-induced causes,D,2510,19746227,12.7
Total,New York,36,2014,2014,,,2510,19746227,12.7
,New York,36,2015,2015,Drug-induced causes,D,3009,19795791,15.2
Total,New York,36,2015,2015,,,3009,19795791,15.2
,New York,36,2016,2016,Drug-induced causes,D,3894,19745289,19.7
Total,New York,36,2016,2016,,,3894,19745289,19.7
,New York,36,2017,2017,Drug-induced causes,D,4117,19849399,20.7
Total,New York,36,2017,2017,,,4117,19849399,20.7
,New York,36,2018,2018,Drug-induced causes,D,3904,19542209,20
Total,New York,36,2018,2018,,,3904,19542209,20
,New York,36,2019,2019,Drug-induced causes,D,3814,19453561,19.6
Total,New York,36,2019,2019,,,3814,19453561,19.6
,New York,36,2020,2020,Drug-induced causes,D,5165,19336776,26.7
Total,New York,36,2020,2020,,,5165,19336776,26.7
Total,New York,36,,,,,50431,425850343,11.8
,North Carolina,37,1999,1999,Drug-induced causes,D,401,7949361,5
Total,North Carolina,37,1999,1999,,,401,7949361,5
,North Carolina,37,2000,2000,Drug-induced causes,D,531,8049313,6.6
Total,North Carolina,37,2000,2000,,,531,8049313,6.6
,North Carolina,37,2001,2001,Drug-induced causes,D,584,8210122,7.1
Total,North Carolina,37,2001,2001,,,584,8210122,7.1
,North Carolina,37,2002,2002,Drug-induced causes,D,684,8326201,8.2
Total,North Carolina,37,2002,2002,,,684,8326201,8.2
,North Carolina,37,2003,2003,Drug-induced causes,D,833,8422501,9.9
Total,North Carolina,37,2003,2003,,,833,8422501,9.9
,North Carolina,37,2004,2004,Drug-induced causes,D,918,8553152,10.7
Total,North Carolina,37,2004,2004,,,918,8553152,10.7
,North Carolina,37,2005,2005,Drug-induced causes,D,1061,8705407,12.2
Total,North Carolina,37,2005,2005,,,1061,8705407,12.2
,North Carolina,37,2006,2006,Drug-induced causes,D,1120,8917270,12.6
Total,North Carolina,37,2006,2006,,,1120,8917270,12.6
,North Carolina,37,2007,2007,Drug-induced causes,D,1125,9118037,12.3
Total,North Carolina,37,2007,2007,,,1125,9118037,12.3
,North Carolina,37,2008,2008,Drug-induced causes,D,1217,9309449,13.1
Total,North Carolina,37,2008,2008,,,1217,9309449,13.1
,North Carolina,37,2009,2009,Drug-induced causes,D,1223,9449566,12.9
Total,North Carolina,37,2009,2009,,,1223,9449566,12.9
,North Carolina,37,2010,2010,Drug-induced causes,D,1125,9535483,11.8
Total,North Carolina,37,2010,2010,,,1125,9535483,11.8
,North Carolina,37,2011,2011,Drug-induced causes,D,1303,9656401,13.5
Total,North Carolina,37,2011,2011,,,1303,9656401,13.5
,North Carolina,37,2012,2012,Drug-induced causes,D,1346,9752073,13.8
Total,North Carolina,37,2012,2012,,,1346,9752073,13.8
,North Carolina,37,2013,2013,Drug-induced causes,D,1308,9848060,13.3
Total,North Carolina,37,2013,2013,,,1308,9848060,13.3
,North Carolina,37,2014,2014,Drug-induced causes,D,1435,9943964,14.4
Total,North Carolina,37,2014,2014,,,1435,9943964,14.4
,North Carolina,37,2015,2015,Drug-induced causes,D,1636,10042802,16.3
Total,North Carolina,37,2015,2015,,,1636,10042802,16.3
,North Carolina,37,2016,2016,Drug-induced causes,D,2040,10146788,20.1
Total,North Carolina,37,2016,2016,,,2040,10146788,20.1
,North Carolina,37,2017,2017,Drug-induced causes,D,2515,10273419,24.5
Total,North Carolina,37,2017,2017,,,2515,10273419,24.5
,North Carolina,37,2018,2018,Drug-induced causes,D,2340,10383620,22.5
Total,North Carolina,37,2018,2018,,,2340,10383620,22.5
,North Carolina,37,2019,2019,Drug-induced causes,D,2378,10488084,22.7
Total,North Carolina,37,2019,2019,,,2378,10488084,22.7
,North Carolina,37,2020,2020,Drug-induced causes,D,3290,10600823,31
Total,North Carolina,37,2020,2020,,,3290,10600823,31
Total,North Carolina,37,,,,,30413,205681896,14.8
,North Dakota,38,1999,1999,Drug-induced causes,D,15,644259,Unreliable
Total,North Dakota,38,1999,1999,,,15,644259,Unreliable
,North Dakota,38,2000,2000,Drug-induced causes,D,16,642200,Unreliable
Total,North Dakota,38,2000,2000,,,16,642200,Unreliable
,North Dakota,38,2001,2001,Drug-induced causes,D,17,639062,Unreliable
Total,North Dakota,38,2001,2001,,,17,639062,Unreliable
,North Dakota,38,2002,2002,Drug-induced causes,D,24,638168,3.8
Total,North Dakota,38,2002,2002,,,24,638168,3.8
,North Dakota,38,2003,2003,Drug-induced causes,D,27,638817,4.2
Total,North Dakota,38,2003,2003,,,27,638817,4.2
,North Dakota,38,2004,2004,Drug-induced causes,D,21,644705,3.3
Total,North Dakota,38,2004,2004,,,21,644705,3.3
,North Dakota,38,2005,2005,Drug-induced causes,D,13,646089,Unreliable
Total,North Dakota,38,2005,2005,,,13,646089,Unreliable
,North Dakota,38,2006,2006,Drug-induced causes,D,16,649422,Unreliable
Total,North Dakota,38,2006,2006,,,16,649422,Unreliable
,North Dakota,38,2007,2007,Drug-induced causes,D,37,652822,5.7
Total,North Dakota,38,2007,2007,,,37,652822,5.7
,North Dakota,38,2008,2008,Drug-induced causes,D,48,657569,7.3
Total,North Dakota,38,2008,2008,,,48,657569,7.3
,North Dakota,38,2009,2009,Drug-induced causes,D,28,664968,4.2
Total,North Dakota,38,2009,2009,,,28,664968,4.2
,North Dakota,38,2010,2010,Drug-induced causes,D,26,672591,3.9
Total,North Dakota,38,2010,2010,,,26,672591,3.9
,North Dakota,38,2011,2011,Drug-induced causes,D,22,683932,3.2
Total,North Dakota,38,2011,2011,,,22,683932,3.2
,North Dakota,38,2012,2012,Drug-induced causes,D,27,699628,3.9
Total,North Dakota,38,2012,2012,,,27,699628,3.9
,North Dakota,38,2013,2013,Drug-induced causes,D,27,723393,3.7
Total,North Dakota,38,2013,2013,,,27,723393,3.7
,North Dakota,38,2014,2014,Drug-induced causes,D,48,739482,6.5
Total,North Dakota,38,2014,2014,,,48,739482,6.5
,North Dakota,38,2015,2015,Drug-induced causes,D,65,756927,8.6
Total,North Dakota,38,2015,2015,,,65,756927,8.6
,North Dakota,38,2016,2016,Drug-induced causes,D,86,757952,11.3
Total,North Dakota,38,2016,2016,,,86,757952,11.3
,North Dakota,38,2017,2017,Drug-induced causes,D,73,755393,9.7
Total,North Dakota,38,2017,2017,,,73,755393,9.7
,North Dakota,38,2018,2018,Drug-induced causes,D,76,760077,10
Total,North Dakota,38,2018,2018,,,76,760077,10
,North Dakota,38,2019,2019,Drug-induced causes,D,95,762062,12.5
Total,North Dakota,38,2019,2019,,,95,762062,12.5
,North Dakota,38,2020,2020,Drug-induced causes,D,124,765309,16.2
Total,North Dakota,38,2020,2020,,,124,765309,16.2
Total,North Dakota,38,,,,,931,15194827,6.1
,Ohio,39,1999,1999,Drug-induced causes,D,534,11335454,4.7
Total,Ohio,39,1999,1999,,,534,11335454,4.7
,Ohio,39,2000,2000,Drug-induced causes,D,625,11353140,5.5
Total,Ohio,39,2000,2000,,,625,11353140,5.5
,Ohio,39,2001,2001,Drug-induced causes,D,808,11387404,7.1
Total,Ohio,39,2001,2001,,,808,11387404,7.1
,Ohio,39,2002,2002,Drug-induced causes,D,1025,11407889,9
Total,Ohio,39,2002,2002,,,1025,11407889,9
,Ohio,39,2003,2003,Drug-induced causes,D,852,11434788,7.5
Total,Ohio,39,2003,2003,,,852,11434788,7.5
,Ohio,39,2004,2004,Drug-induced causes,D,1266,11452251,11.1
Total,Ohio,39,2004,2004,,,1266,11452251,11.1
,Ohio,39,2005,2005,Drug-induced causes,D,1382,11463320,12.1
Total,Ohio,39,2005,2005,,,1382,11463320,12.1
,Ohio,39,2006,2006,Drug-induced causes,D,1606,11481213,14
Total,Ohio,39,2006,2006,,,1606,11481213,14
,Ohio,39,2007,2007,Drug-induced causes,D,1691,11500468,14.7
Total,Ohio,39,2007,2007,,,1691,11500468,14.7
,Ohio,39,2008,2008,Drug-induced causes,D,1811,11515391,15.7
Total,Ohio,39,2008,2008,,,1811,11515391,15.7
,Ohio,39,2009,2009,Drug-induced causes,D,1340,11528896,11.6
Total,Ohio,39,2009,2009,,,1340,11528896,11.6
,Ohio,39,2010,2010,Drug-induced causes,D,1911,11536504,16.6
Total,Ohio,39,2010,2010,,,1911,11536504,16.6
,Ohio,39,2011,2011,Drug-induced causes,D,2127,11544951,18.4
Total,Ohio,39,2011,2011,,,2127,11544951,18.4
,Ohio,39,2012,2012,Drug-induced causes,D,2207,11544225,19.1
Total,Ohio,39,2012,2012,,,2207,11544225,19.1
,Ohio,39,2013,2013,Drug-induced causes,D,2450,11570808,21.2
Total,Ohio,39,2013,2013,,,2450,11570808,21.2
,Ohio,39,2014,2014,Drug-induced causes,D,2832,11594163,24.4
Total,Ohio,39,2014,2014,,,2832,11594163,24.4
,Ohio,39,2015,2015,Drug-induced causes,D,3418,11613423,29.4
Total,Ohio,39,2015,2015,,,3418,11613423,29.4
,Ohio,39,2016,2016,Drug-induced causes,D,4477,11614373,38.5
Total,Ohio,39,2016,2016,,,4477,11614373,38.5
,Ohio,39,2017,2017,Drug-induced causes,D,5299,11658609,45.5
Total,Ohio,39,2017,2017,,,5299,11658609,45.5
,Ohio,39,2018,2018,Drug-induced causes,D,4153,11689442,35.5
Total,Ohio,39,2018,2018,,,4153,11689442,35.5
,Ohio,39,2019,2019,Drug-induced causes,D,4440,11689100,38
Total,Ohio,39,2019,2019,,,4440,11689100,38
,Ohio,39,2020,2020,Drug-induced causes,D,5376,11693217,46
Total,Ohio,39,2020,2020,,,5376,11693217,46
Total,Ohio,39,,,,,51630,253609029,20.4
,Oklahoma,40,1999,1999,Drug-induced causes,D,189,3437147,5.5
Total,Oklahoma,40,1999,1999,,,189,3437147,5.5
,Oklahoma,40,2000,2000,Drug-induced causes,D,250,3450654,7.2
Total,Oklahoma,40,2000,2000,,,250,3450654,7.2
,Oklahoma,40,2001,2001,Drug-induced causes,D,282,3467100,8.1
Total,Oklahoma,40,2001,2001,,,282,3467100,8.1
,Oklahoma,40,2002,2002,Drug-induced causes,D,257,3489080,7.4
Total,Oklahoma,40,2002,2002,,,257,3489080,7.4
,Oklahoma,40,2003,2003,Drug-induced causes,D,411,3504892,11.7
Total,Oklahoma,40,2003,2003,,,411,3504892,11.7
,Oklahoma,40,2004,2004,Drug-induced causes,D,527,3525233,14.9
Total,Oklahoma,40,2004,2004,,,527,3525233,14.9
,Oklahoma,40,2005,2005,Drug-induced causes,D,533,3548597,15
Total,Oklahoma,40,2005,2005,,,533,3548597,15
,Oklahoma,40,2006,2006,Drug-induced causes,D,619,3594090,17.2
Total,Oklahoma,40,2006,2006,,,619,3594090,17.2
,Oklahoma,40,2007,2007,Drug-induced causes,D,687,3634349,18.9
Total,Oklahoma,40,2007,2007,,,687,3634349,18.9
,Oklahoma,40,2008,2008,Drug-induced causes,D,585,3668976,15.9
Total,Oklahoma,40,2008,2008,,,585,3668976,15.9
,Oklahoma,40,2009,2009,Drug-induced causes,D,766,3717572,20.6
Total,Oklahoma,40,2009,2009,,,766,3717572,20.6
,Oklahoma,40,2010,2010,Drug-induced causes,D,728,3751351,19.4
Total,Oklahoma,40,2010,2010,,,728,3751351,19.4
,Oklahoma,40,2011,2011,Drug-induced causes,D,715,3791508,18.9
Total,Oklahoma,40,2011,2011,,,715,3791508,18.9
,Oklahoma,40,2012,2012,Drug-induced causes,D,782,3814820,20.5
Total,Oklahoma,40,2012,2012,,,782,3814820,20.5
,Oklahoma,40,2013,2013,Drug-induced causes,D,800,3850568,20.8
Total,Oklahoma,40,2013,2013,,,800,3850568,20.8
,Oklahoma,40,2014,2014,Drug-induced causes,D,809,3878051,20.9
Total,Oklahoma,40,2014,2014,,,809,3878051,20.9
,Oklahoma,40,2015,2015,Drug-induced causes,D,751,3911338,19.2
Total,Oklahoma,40,2015,2015,,,751,3911338,19.2
,Oklahoma,40,2016,2016,Drug-induced causes,D,840,3923561,21.4
Total,Oklahoma,40,2016,2016,,,840,3923561,21.4
,Oklahoma,40,2017,2017,Drug-induced causes,D,805,3930864,20.5
Total,Oklahoma,40,2017,2017,,,805,3930864,20.5
,Oklahoma,40,2018,2018,Drug-induced causes,D,739,3943079,18.7
Total,Oklahoma,40,2018,2018,,,739,3943079,18.7
,Oklahoma,40,2019,2019,Drug-induced causes,D,680,3956971,17.2
Total,Oklahoma,40,2019,2019,,,680,3956971,17.2
,Oklahoma,40,2020,2020,Drug-induced causes,D,801,3980783,20.1
Total,Oklahoma,40,2020,2020,,,801,3980783,20.1
Total,Oklahoma,40,,,,,13556,81770584,16.6
,Oregon,41,1999,1999,Drug-induced causes,D,329,3393941,9.7
Total,Oregon,41,1999,1999,,,329,3393941,9.7
,Oregon,41,2000,2000,Drug-induced causes,D,306,3421399,8.9
Total,Oregon,41,2000,2000,,,306,3421399,8.9
,Oregon,41,2001,2001,Drug-induced causes,D,321,3467937,9.3
Total,Oregon,41,2001,2001,,,321,3467937,9.3
,Oregon,41,2002,2002,Drug-induced causes,D,411,3513424,11.7
Total,Oregon,41,2002,2002,,,411,3513424,11.7
,Oregon,41,2003,2003,Drug-induced causes,D,482,3547376,13.6
Total,Oregon,41,2003,2003,,,482,3547376,13.6
,Oregon,41,2004,2004,Drug-induced causes,D,482,3569463,13.5
Total,Oregon,41,2004,2004,,,482,3569463,13.5
,Oregon,41,2005,2005,Drug-induced causes,D,513,3613202,14.2
Total,Oregon,41,2005,2005,,,513,3613202,14.2
,Oregon,41,2006,2006,Drug-induced causes,D,584,3670883,15.9
Total,Oregon,41,2006,2006,,,584,3670883,15.9
,Oregon,41,2007,2007,Drug-induced causes,D,564,3722417,15.2
Total,Oregon,41,2007,2007,,,564,3722417,15.2
,Oregon,41,2008,2008,Drug-induced causes,D,521,3768748,13.8
Total,Oregon,41,2008,2008,,,521,3768748,13.8
,Oregon,41,2009,2009,Drug-induced causes,D,576,3808600,15.1
Total,Oregon,41,2009,2009,,,576,3808600,15.1
,Oregon,41,2010,2010,Drug-induced causes,D,576,3831074,15
Total,Oregon,41,2010,2010,,,576,3831074,15
,Oregon,41,2011,2011,Drug-induced causes,D,596,3871859,15.4
Total,Oregon,41,2011,2011,,,596,3871859,15.4
,Oregon,41,2012,2012,Drug-induced causes,D,568,3899353,14.6
Total,Oregon,41,2012,2012,,,568,3899353,14.6
,Oregon,41,2013,2013,Drug-induced causes,D,545,3930065,13.9
Total,Oregon,41,2013,2013,,,545,3930065,13.9
,Oregon,41,2014,2014,Drug-induced causes,D,617,3970239,15.5
Total,Oregon,41,2014,2014,,,617,3970239,15.5
,Oregon,41,2015,2015,Drug-induced causes,D,609,4028977,15.1
Total,Oregon,41,2015,2015,,,609,4028977,15.1
,Oregon,41,2016,2016,Drug-induced causes,D,651,4093465,15.9
Total,Oregon,41,2016,2016,,,651,4093465,15.9
,Oregon,41,2017,2017,Drug-induced causes,D,676,4142776,16.3
Total,Oregon,41,2017,2017,,,676,4142776,16.3
,Oregon,41,2018,2018,Drug-induced causes,D,678,4190713,16.2
Total,Oregon,41,2018,2018,,,678,4190713,16.2
,Oregon,41,2019,2019,Drug-induced causes,D,761,4217737,18
Total,Oregon,41,2019,2019,,,761,4217737,18
,Oregon,41,2020,2020,Drug-induced causes,D,997,4241507,23.5
Total,Oregon,41,2020,2020,,,997,4241507,23.5
Total,Oregon,41,,,,,12363,83915155,14.7
,Pennsylvania,42,1999,1999,Drug-induced causes,D,1049,12263805,8.6
Total,Pennsylvania,42,1999,1999,,,1049,12263805,8.6
,Pennsylvania,42,2000,2000,Drug-induced causes,D,1215,12281054,9.9
Total,Pennsylvania,42,2000,2000,,,1215,12281054,9.9
,Pennsylvania,42,2001,2001,Drug-induced causes,D,1021,12298970,8.3
Total,Pennsylvania,42,2001,2001,,,1021,12298970,8.3
,Pennsylvania,42,2002,2002,Drug-induced causes,D,1159,12331031,9.4
Total,Pennsylvania,42,2002,2002,,,1159,12331031,9.4
,Pennsylvania,42,2003,2003,Drug-induced causes,D,1441,12374658,11.6
Total,Pennsylvania,42,2003,2003,,,1441,12374658,11.6
,Pennsylvania,42,2004,2004,Drug-induced causes,D,1600,12410722,12.9
Total,Pennsylvania,42,2004,2004,,,1600,12410722,12.9
,Pennsylvania,42,2005,2005,Drug-induced causes,D,1680,12449990,13.5
Total,Pennsylvania,42,2005,2005,,,1680,12449990,13.5
,Pennsylvania,42,2006,2006,Drug-induced causes,D,1834,12510809,14.7
Total,Pennsylvania,42,2006,2006,,,1834,12510809,14.7
,Pennsylvania,42,2007,2007,Drug-induced causes,D,1812,12563937,14.4
Total,Pennsylvania,42,2007,2007,,,1812,12563937,14.4
,Pennsylvania,42,2008,2008,Drug-induced causes,D,1898,12612285,15
Total,Pennsylvania,42,2008,2008,,,1898,12612285,15
,Pennsylvania,42,2009,2009,Drug-induced causes,D,1983,12666858,15.7
Total,Pennsylvania,42,2009,2009,,,1983,12666858,15.7
,Pennsylvania,42,2010,2010,Drug-induced causes,D,1980,12702379,15.6
Total,Pennsylvania,42,2010,2010,,,1980,12702379,15.6
,Pennsylvania,42,2011,2011,Drug-induced causes,D,2342,12742886,18.4
Total,Pennsylvania,42,2011,2011,,,2342,12742886,18.4
,Pennsylvania,42,2012,2012,Drug-induced causes,D,2459,12763536,19.3
Total,Pennsylvania,42,2012,2012,,,2459,12763536,19.3
,Pennsylvania,42,2013,2013,Drug-induced causes,D,2525,12773801,19.8
Total,Pennsylvania,42,2013,2013,,,2525,12773801,19.8
,Pennsylvania,42,2014,2014,Drug-induced causes,D,2829,12787209,22.1
Total,Pennsylvania,42,2014,2014,,,2829,12787209,22.1
,Pennsylvania,42,2015,2015,Drug-induced causes,D,3376,12802503,26.4
Total,Pennsylvania,42,2015,2015,,,3376,12802503,26.4
,Pennsylvania,42,2016,2016,Drug-induced causes,D,4762,12784227,37.2
Total,Pennsylvania,42,2016,2016,,,4762,12784227,37.2
,Pennsylvania,42,2017,2017,Drug-induced causes,D,5495,12805537,42.9
Total,Pennsylvania,42,2017,2017,,,5495,12805537,42.9
,Pennsylvania,42,2018,2018,Drug-induced causes,D,4535,12807060,35.4
Total,Pennsylvania,42,2018,2018,,,4535,12807060,35.4
